Time: 02-02-2022 15:11, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:18, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/?user=user1, HTTP method: GET
Time: 02-02-2022 15:18, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/?user=unknown2, HTTP method: GET
Time: 02-02-2022 15:18, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/?user=unknown, HTTP method: GET
Time: 02-02-2022 15:18, request URL: http://127.0.0.1:8000/admin/app_news_board/, HTTP method: GET
Time: 02-02-2022 15:19, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 15:19, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 15:19, request URL: http://127.0.0.1:8000/admin/app_news_board/news/2/change/, HTTP method: GET
Time: 02-02-2022 15:19, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:07, request URL: http://127.0.0.1:8000/admin/app_news_board/news/2/change/, HTTP method: GET
Time: 02-02-2022 16:07, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:07, request URL: http://127.0.0.1:8000/favicon.ico, HTTP method: GET
Time: 02-02-2022 16:08, request URL: http://127.0.0.1:8000/admin/app_news_board/, HTTP method: GET
Time: 02-02-2022 16:08, request URL: http://127.0.0.1:8000/admin/app_news_board/comment/, HTTP method: GET
Time: 02-02-2022 16:08, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:08, request URL: http://127.0.0.1:8000/admin/app_news_board/, HTTP method: GET
Time: 02-02-2022 16:08, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
Time: 02-02-2022 16:08, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:08, request URL: http://127.0.0.1:8000/admin/app_news_board/news/1/change/, HTTP method: GET
Time: 02-02-2022 16:08, request URL: http://127.0.0.1:8000/admin/jsi18n/, HTTP method: GET
Time: 02-02-2022 16:08, request URL: http://127.0.0.1:8000/admin/app_news_board/news/, HTTP method: GET
